camp,tirage,var_pc1,var_pc2,n_axes_50,n_axes_80,meilleur_k,silhouette,sil_k2,sil_k3,sil_k4,sil_k5,sil_k6,sil_k7,sil_k8
droite,25,0.101672,0.070537,13,36,2,0.058995,0.058995,0.049570,0.041826,0.037447,0.033291,0.029896,0.028179
droite,26,0.103064,0.072660,13,36,2,0.058961,0.058961,0.051215,0.045551,0.036651,0.031910,0.026378,0.028355
droite,27,0.100940,0.073785,13,36,2,0.057699,0.057699,0.050942,0.036877,0.034072,0.037070,0.029441,0.025449
droite,28,0.096874,0.073228,14,36,2,0.057657,0.057657,0.049277,0.041052,0.036845,0.031073,0.032100,0.026339
droite,29,0.102891,0.071557,14,36,2,0.060942,0.060942,0.051044,0.042417,0.040071,0.029268,0.029689,0.028539
droite,30,0.102547,0.071135,13,36,2,0.061859,0.061859,0.049741,0.044359,0.037267,0.036575,0.020708,0.031476
droite,31,0.095607,0.072320,14,36,2,0.056335,0.056335,0.048700,0.041890,0.040334,0.034343,0.030701,0.026665
droite,32,0.100624,0.071639,14,36,2,0.057702,0.057702,0.049928,0.041110,0.033822,0.032737,0.031518,0.027391
droite,33,0.096490,0.070527,14,36,2,0.056626,0.056626,0.047297,0.043500,0.038991,0.034753,0.027204,0.031716
droite,34,0.098606,0.071579,13,36,2,0.057014,0.057014,0.048050,0.041760,0.038449,0.036263,0.031486,0.024717
droite,35,0.101663,0.070981,13,36,2,0.059240,0.059240,0.051686,0.039953,0.037119,0.036083,0.027124,0.028346
droite,36,0.103045,0.070881,13,36,2,0.061610,0.061610,0.050624,0.041952,0.036873,0.033120,0.034060,0.027961
droite,37,0.104005,0.071660,13,36,2,0.060300,0.060300,0.050778,0.042614,0.039095,0.028950,0.032943,0.020757
droite,38,0.102985,0.070816,13,35,2,0.059509,0.059509,0.050491,0.043665,0.034066,0.037682,0.025246,0.026995
droite,39,0.103635,0.069673,13,36,2,0.060313,0.060313,0.051139,0.043746,0.037493,0.038511,0.034217,0.034159
droite,40,0.099493,0.070587,14,36,2,0.056398,0.056398,0.049859,0.040353,0.037083,0.029976,0.024514,0.028899
droite,41,0.099119,0.068909,14,36,2,0.056985,0.056985,0.048259,0.042855,0.030196,0.036657,0.033441,0.030631
droite,42,0.100699,0.072204,13,36,2,0.058653,0.058653,0.050790,0.041954,0.037752,0.037085,0.031429,0.030204
droite,43,0.100628,0.071592,14,36,2,0.058262,0.058262,0.049500,0.037326,0.039759,0.030966,0.033862,0.035248
droite,44,0.105062,0.070144,13,36,2,0.061490,0.061490,0.052282,0.043934,0.040151,0.032126,0.028033,0.025665
droite,45,0.097550,0.073248,13,36,2,0.058381,0.058381,0.050260,0.045215,0.040933,0.031595,0.025458,0.029213
droite,46,0.099969,0.070698,13,36,2,0.058386,0.058386,0.049826,0.041578,0.043177,0.032939,0.027823,0.028749
droite,47,0.098767,0.068638,13,36,2,0.058320,0.058320,0.047132,0.043025,0.038107,0.037905,0.032659,0.028498
droite,48,0.102510,0.071928,13,36,2,0.060819,0.060819,0.051859,0.041133,0.036960,0.030828,0.035627,0.029788
droite,49,0.103709,0.070060,13,36,2,0.060319,0.060319,0.050869,0.042485,0.032847,0.036242,0.030142,0.030818
droite,50,0.101134,0.071307,13,36,2,0.059402,0.059402,0.050980,0.042288,0.039905,0.037310,0.025526,0.033168
droite,51,0.104223,0.070870,13,36,2,0.061882,0.061882,0.052311,0.042521,0.036041,0.036830,0.027771,0.033815
droite,52,0.102771,0.071801,13,36,2,0.059718,0.059718,0.049974,0.042760,0.040535,0.032984,0.033584,0.026036
droite,53,0.101071,0.069983,14,36,2,0.059315,0.059315,0.051016,0.042960,0.038639,0.027971,0.034477,0.030901
droite,54,0.102845,0.071912,13,36,2,0.060671,0.060671,0.052871,0.042914,0.036762,0.036131,0.031684,0.026795
droite,55,0.100951,0.070858,13,36,2,0.058920,0.058920,0.048487,0.041010,0.038204,0.035821,0.030381,0.026588
droite,56,0.097820,0.071001,14,36,2,0.057639,0.057639,0.047481,0.042738,0.035854,0.035349,0.023715,0.034548
droite,57,0.101028,0.073734,13,36,2,0.059394,0.059394,0.049890,0.043608,0.042758,0.037050,0.022907,0.025702
droite,58,0.100768,0.071474,14,36,2,0.059748,0.059748,0.049319,0.040777,0.034836,0.033069,0.028431,0.026242
droite,59,0.099833,0.070946,13,36,2,0.057925,0.057925,0.048836,0.041807,0.037539,0.030318,0.030887,0.029121
droite,60,0.105695,0.067366,13,36,2,0.061839,0.061839,0.050558,0.043234,0.039021,0.028482,0.027031,0.024154
droite,61,0.103232,0.071795,13,36,2,0.059927,0.059927,0.050627,0.041787,0.041595,0.030071,0.028780,0.030969
droite,62,0.102930,0.071680,13,36,2,0.060076,0.060076,0.051382,0.043127,0.035424,0.030417,0.031420,0.028836
droite,63,0.102714,0.071104,13,35,2,0.060677,0.060677,0.050939,0.036631,0.043131,0.037944,0.031660,0.032340
droite,64,0.103292,0.071242,13,36,2,0.059913,0.059913,0.051065,0.034782,0.032188,0.031321,0.032170,0.033463
droite,65,0.100539,0.072839,13,36,2,0.058833,0.058833,0.051943,0.042047,0.038619,0.032302,0.029093,0.028920
droite,66,0.102118,0.073162,13,36,2,0.060335,0.060335,0.051264,0.040252,0.038065,0.034312,0.031318,0.030818
droite,67,0.101314,0.071273,14,36,2,0.058039,0.058039,0.050927,0.040040,0.036541,0.030165,0.027072,0.030494
droite,68,0.100640,0.072813,13,36,2,0.059474,0.059474,0.049118,0.042151,0.040740,0.035847,0.033669,0.028147
droite,69,0.103766,0.071472,13,36,2,0.060884,0.060884,0.050412,0.042652,0.037892,0.034140,0.032415,0.029189
droite,70,0.100814,0.071225,13,36,2,0.058434,0.058434,0.049905,0.042002,0.037076,0.030869,0.029018,0.030557
droite,71,0.096913,0.073652,13,36,2,0.055995,0.055995,0.051180,0.042899,0.034845,0.034503,0.033981,0.028033
droite,72,0.099803,0.071916,13,36,2,0.058384,0.058384,0.050291,0.040787,0.039356,0.036785,0.031175,0.028329
droite,73,0.100530,0.070677,13,36,2,0.057333,0.057333,0.049761,0.039793,0.033943,0.035211,0.034953,0.030750
droite,74,0.099003,0.069606,14,36,2,0.059346,0.059346,0.048780,0.043055,0.030911,0.033463,0.031448,0.028371
droite,75,0.100173,0.071948,14,36,2,0.059694,0.059694,0.049595,0.042135,0.034298,0.027787,0.031390,0.022948
droite,76,0.101599,0.070403,13,36,2,0.059047,0.059047,0.050893,0.041933,0.039314,0.031146,0.032793,0.030268
droite,77,0.102358,0.070854,13,36,2,0.061682,0.061682,0.050126,0.041867,0.036262,0.033168,0.030504,0.027926
droite,78,0.101525,0.070264,13,36,2,0.060356,0.060356,0.051539,0.042260,0.040108,0.036418,0.025434,0.030192
droite,79,0.103818,0.065722,14,36,2,0.061265,0.061265,0.047566,0.043271,0.031841,0.037622,0.030734,0.029179
droite,80,0.102594,0.071890,13,36,2,0.059992,0.059992,0.049352,0.044222,0.035244,0.031762,0.025233,0.034532
droite,81,0.100982,0.072061,13,36,2,0.060122,0.060122,0.051169,0.043756,0.034928,0.034971,0.028520,0.023008
droite,82,0.102130,0.067487,14,36,2,0.059719,0.059719,0.049779,0.040250,0.034375,0.030008,0.030536,0.027009
droite,83,0.103209,0.070081,13,36,2,0.059389,0.059389,0.051285,0.042041,0.036272,0.039142,0.028220,0.027228
droite,84,0.102996,0.071316,13,36,2,0.058417,0.058417,0.051976,0.041843,0.037889,0.035459,0.028009,0.030625
droite,85,0.099807,0.071159,13,36,2,0.057952,0.057952,0.049417,0.041530,0.041276,0.031377,0.030477,0.024434
droite,86,0.099209,0.072579,13,36,2,0.057291,0.057291,0.050299,0.039977,0.037283,0.033162,0.029414,0.030885
droite,87,0.101008,0.071138,13,36,2,0.060532,0.060532,0.049328,0.043517,0.031925,0.033585,0.026654,0.024781
droite,88,0.103923,0.071299,13,36,2,0.062144,0.062144,0.051995,0.043719,0.037505,0.034005,0.021785,0.030374
droite,89,0.102992,0.069397,13,36,2,0.059760,0.059760,0.048862,0.042273,0.037967,0.038270,0.036984,0.023087
droite,90,0.100532,0.072868,13,35,2,0.057773,0.057773,0.052427,0.042358,0.042231,0.029856,0.034462,0.033585
droite,91,0.099884,0.071925,14,36,2,0.058146,0.058146,0.049540,0.041071,0.032305,0.032095,0.029629,0.022038
droite,92,0.102097,0.070873,13,36,2,0.059842,0.059842,0.050225,0.042797,0.036359,0.030716,0.026559,0.031245
droite,93,0.103737,0.071922,13,36,2,0.060360,0.060360,0.051681,0.042406,0.037663,0.030238,0.029645,0.032670
droite,94,0.099525,0.071488,14,36,2,0.058082,0.058082,0.049221,0.040740,0.038699,0.038418,0.028604,0.028568
droite,95,0.102309,0.070956,14,36,2,0.059201,0.059201,0.051775,0.041954,0.037972,0.035931,0.028604,0.032082
droite,96,0.104322,0.070929,13,36,2,0.061999,0.061999,0.051422,0.042261,0.039870,0.038997,0.032294,0.026395
droite,97,0.100907,0.072043,14,36,2,0.060269,0.060269,0.051832,0.040452,0.036706,0.035786,0.032585,0.033724
droite,98,0.101156,0.072939,13,36,2,0.058399,0.058399,0.050528,0.044158,0.033206,0.029664,0.030575,0.022624
droite,99,0.098042,0.071033,14,36,2,0.058551,0.058551,0.048127,0.037546,0.040241,0.034414,0.032535,0.024718
