role,item_gss,famille_gss,item_anes,etude_anes,libelle_anes,type_appariement,confiance,statut_donnees_anes,modalites_gss,modalites_anes,note
placement_candidats,,,V201253,ANES 2020,PRE: 7pt scale gov-private medical insurance scale: Dem Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government insurance plan | 2. | 3. | 4. | 5. | 6. | 7. Private insurance plan,"assurance maladie publique ou privee, candidat democrate."
placement_candidats,,,V201254,ANES 2020,PRE: 7pt scale gov-private medical insurance scale: Rep Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government insurance plan | 2. | 3. | 4. | 5. | 6. | 7. Private insurance plan,"assurance maladie publique ou privee, candidat republicain."
placement_candidats,,,V201256,ANES 2020,PRE: 7pt scale guaranteed job-income scale: Dem Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government should see to jobs and standard of living | 2. | 3. | 4. | 5. | 6. | 7. Government should let each person get ahead on own,"emploi et revenu garantis, candidat democrate."
placement_candidats,,,V201257,ANES 2020,PRE: 7pt scale guaranteed job-income scale: Rep Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government should see to jobs and standard of living | 2. | 3. | 4. | 5. | 6. | 7. Government should let each person get ahead on own,"emploi et revenu garantis, candidat republicain."
placement_candidats,,,V201259,ANES 2020,PRE: 7pt scale gov assistance to blacks scale: Dem Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government should help blacks | 2. | 3. | 4. | 5. | 6. | 7. Blacks should help themselves,"aide aux Noirs, candidat democrate."
placement_candidats,,,V201260,ANES 2020,PRE: 7pt scale gov assistance to blacks scale: Rep Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government should help blacks | 2. | 3. | 4. | 5. | 6. | 7. Blacks should help themselves,"aide aux Noirs, candidat republicain."
placement_candidats,,,V201263,ANES 2020,PRE: 7pt scale environment-business tradeoff: Dem Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Tougher regulations on business needed to protect environment | 2. | 3. | 4. | 5. | 6. | 7. Regulations to protect environment already too much a burden on business,"environnement contre emploi, candidat democrate."
placement_candidats,,,V201264,ANES 2020,PRE: 7pt scale environment-business tradeoff: Rep Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Tougher regulations on business needed to protect environment | 2. | 3. | 4. | 5. | 6. | 7. Regulations to protect environment already too much a burden on business,"environnement contre emploi, candidat republicain."
placement_candidats,,,V201338,ANES 2020,PRE: STD Abortion: Democratic Presidential candidate placement,item de placement d un candidat,identique,renseigne,,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice","avortement, candidat democrate. V241304 en 2024, VCF9234 dans le cumulatif."
placement_candidats,,,V201339,ANES 2020,PRE: STD Abortion: Republican Presidential candidate placement,item de placement d un candidat,identique,renseigne,,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice","avortement, candidat republicain. V241305 en 2024, VCF9235 dans le cumulatif."
placement_candidats,,,V241250,ANES 2024,PRE: 7pt scale abortion: Dem Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Abortion should always be permitted without restrictions | 7. Abortion should never be permitted,"nouvelle echelle avortement en 7 points, candidat democrate."
placement_candidats,,,V241251,ANES 2024,PRE: 7pt scale abortion: Rep Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Abortion should always be permitted without restrictions | 7. Abortion should never be permitted,"nouvelle echelle avortement en 7 points, candidat republicain."
ideologie_parti,,,V201200,ANES 2020,PRE: 7pt scale liberal-conservative self-placement,variable d ideologie,identique,renseigne,,1. Extremely liberal | 2. Liberal | 3. Slightly liberal | 4. Moderate; middle of the road | 5. Slightly conservative | 6. Conservative | 7. Extremely conservative | 99. Haven't thought much about this,"auto placement liberal-conservateur en 7 points, homologue de polviews. V241177 en 2024, VCF0803 dans le cumulatif."
ideologie_parti,,,V201231x,ANES 2020,PRE: SUMMARY: Party ID,variable de parti,identique,renseigne,,1. Strong Democrat | 2. Not very strong Democrat | 3. Independent-Democrat | 4. Independent | 5. Independent-Republican | 6. Not very strong Republican | 7. Strong Republican,"identification partisane resumee en 7 points, homologue de partyid. VCF0301 dans le cumulatif."
ideologie_parti,,,V202439,ANES 2020,POST: CSES5-Q18: Left-right-self,variable d ideologie,identique,renseigne,,,auto placement gauche-droite CSES en 11 points. VCF9240 dans le cumulatif.
ideologie_parti,,,V201228,ANES 2020,"PRE: Party ID: Does R think of self as Democrat, Republican, or Independent",variable de parti,identique,renseigne,,0. No preference {VOL - video/phone only} | 1. Democrat | 2. Republican | 3. Independent | 5. Other party {SPECIFY},"question de parti brute, democrate, republicain ou independant."
second_ordre_composition,,,"dem_black, dem_union, dem_aa, dem_lgb","Ahler et Sood 2018, echantillon YouGov",,item de croyance de second ordre sur la composition d un camp,identique,renseigne,,pourcentage de 0 a 100,"part estimee de Noirs, de syndiques, d atheees ou agnostiques et de personnes homosexuelles chez les soutiens democrates. Hors ANES, data/ahler-sood-pcomp, licence CC0."
second_ordre_composition,,,"rep_evang, rep_rich, rep_old, rep_south","Ahler et Sood 2018, echantillon YouGov",,item de croyance de second ordre sur la composition d un camp,identique,renseigne,,pourcentage de 0 a 100,"part estimee d evangeliques, de personnes gagnant plus de 250 000 dollars, de plus de 65 ans et de sudistes chez les soutiens republicains. Hors ANES, licence CC0."
